productName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL 
 Lenovo IdeaPad 3 Intel Core i5 11th Gen,4.2,454,29,46990,78990,Intel Core i5 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70 
 ASUS VivoBook 14 (2021) Celeron Dual Core,4.1,2523,274,23990,33990,Intel Celeron Dual Core Processor,DDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/r/3/-original-imagpxgqpggsx6tm.jpeg?q=70 
 ASUS Vivobook 15 Touch Core i3 11th Gen,4.3,479,59,39990,60990,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/y/f/-original-imagpxgr9vjq4kpz.jpeg?q=70 
 Acer One Core i3 11th Gen,4.1,225,23,28990,43999,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/0/-original-imagqyfdvgcwc54x.jpeg?q=70 
 Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen,4.1,245,25,40990,64290,Intel Core i3 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/m/2/-original-imagpa5gadtkbm6y.jpeg?q=70 
 Lenovo Athlon Dual Core 3050U,3.8,146,12,19550,35000,AMD Athlon Dual Core Processor,DDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70 
 HP Laptop Core i3 11th Gen,4.2,239,16,38990,49025,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/u/-original-imagp7pgcy8e6eta.jpeg?q=70 
 MSI Ryzen 5 Hexa Core 7530U,4.4,111,14,43990,64990,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,16 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70 
 SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,4,183,31,29990,47990,Qualcomm Snapdragon 7c Gen 2 Processor,LPDDR4X RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/l0r1j0w0/computer/z/m/a/np340xla-ka1in-thin-and-light-laptop-samsung-original-imagcgqvcvcbsun6.jpeg?q=70 
 Primebook 4G Android Based MediaTek MT8788,4,1022,326,16990,24990,MediaTek MediaTek MT8788 Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70 
 MSI Core i5 11th Gen,4.3,1033,99,49990,67990,Intel Core i5 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70 
 Lenovo Athlon Dual Core 3050U,3.5,188,21,17990,37450,AMD Athlon Dual Core Processor,DDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70 
 Lenovo IdeaPad 3 Core i3 12th Gen,4.1,245,25,40990,66390,Intel Core i3 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/m/2/-original-imagpa5gadtkbm6y.jpeg?q=70 
 Infinix INBook Y1 Plus Intel Core i3 10th Gen,4.2,709,92,28990,49990,Intel Core i3 Processor (10th Gen),LPDDR4X RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70 
 HP Ryzen 5 Hexa Core 5500U,4.3,393,29,48990,59241,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,16 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/e/v/-original-imagp7pgjf9zfwxp.jpeg?q=70 
 Primebook 4G Android Based MediaTek MT8788,4,1022,326,13990,24990,MediaTek MediaTek MT8788 Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/y/s/-original-imagn9s6z2qmxmem.jpeg?q=70 
 Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.3,2095,218,47990,86290,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,16 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70 
 ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U,4.4,94,15,42990,61990,AMD Ryzen 3 Quad Core Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/k/k/-original-imagpxgru35rbzwz.jpeg?q=70 
 MSI Ryzen 5 Hexa Core 7530U,4.4,111,14,40990,61990,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70 
 Primebook 4G Android Based MediaTek MT8788,4,224,72,18990,27990,MediaTek MediaTek MT8788 Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70 
